#Serovar	Isolate	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Collection Date
E. coli O9:H21	PDT000048651.3	USA	stool	clinical				SAMN03293362	GCA_012826915.1	blaEC=COMPLETE	2014-12
	PDT000228270.1	USA:OK	feces	environmental/other				SAMN05440303	GCA_002231095.1	blaEC=COMPLETE,tet(C)=COMPLETE	2000-10-10
E. coli OUND:H28	PDT000119997.3	USA	stool	clinical	PDS000057228.1	8		SAMN04570731	GCA_012711755.1	blaEC=COMPLETE	2016-02
E. coli Orough:H31	PDT000051241.3	USA	stool	clinical	PDS000034733.3	2		SAMN03381320	GCA_012824895.1	blaEC=COMPLETE,marR_S3N=POINT,parE_D475E=POINT	2013-08
E. coli O124:H19	PDT000069408.3	USA	stool	clinical				SAMN03755585	GCA_012809835.1	aadA1=COMPLETE,blaEC=COMPLETE,dfrA1=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	2014-12
	PDT000228356.1	USA:NY	feces	clinical	PDS000049021.3		0	SAMN04279411	GCA_002232895.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,parE_D475E=POINT,sul2=COMPLETE,tet(A)=COMPLETE	2004-11-29
E. coli O100:NM	PDT000131025.3	USA	stool	clinical				SAMN05001379	GCA_012898525.1	aadA1=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,cmlA1=COMPLETE,lnu(G)=COMPLETE,mef(B)=COMPLETE,sul3=COMPLETE,tet(B)=COMPLETE	2016-03
E. coli O121:Pending/E. coli O156:H25/E. coli O156:NM	PDT000054717.3	USA	stool	clinical	PDS000034081.6	0		SAMN03463747	GCA_012823435.1	blaEC=COMPLETE	2014-07
E. coli O159:H19	PDT000083179.3	USA	stool	clinical	PDS000001053.15	1	23	SAMN04045278	GCA_012801035.1	blaEC=COMPLETE	2015-08
E. coli O25:H7	PDT000135924.3	USA	stool	clinical	PDS000054673.3	21		SAMN05283785	GCA_012894035.1	blaEC=COMPLETE	2016-05
E. coli O121:H19/E. coli O103:NM	PDT000040372.6	USA	stool	clinical				SAMN02991217	GCA_012162225.1	blaEC=COMPLETE	2007-07
	PDT000248795.1	USA: TN	feces	environmental/other				SAMN04902868	GCA_002463505.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA5=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	2013-05-24
	PDT000242513.1	USA: Ohio	feces	clinical				SAMN07488849	GCA_002319515.1	blaEC=COMPLETE	2014
	PDT000242516.1	USA: Nebraska	feces	environmental/other				SAMN07488858	GCA_002319595.1	blaEC=COMPLETE,tet(B)=COMPLETE	2000-10-16
	PDT000242524.1	USA: Ohio	feces	clinical				SAMN07488840	GCA_002319745.1	blaEC=COMPLETE	2014
	PDT000488241.1	USA: Nebraska	feces	environmental/other				SAMN08810292	GCA_004766675.1	blaEC=COMPLETE,blaTEM-1=COMPLETE,sul2=COMPLETE	2000-10-16
	PDT000216690.1	USA:Midwest	feces	environmental/other	PDS000014974.4	53		SAMN06759962	GCA_002173265.1	blaEC=COMPLETE	2013-07-17
Undetermined:HNT	PDT000128455.3	USA	stool	clinical				SAMN04916765	GCA_012899325.1	basR_G53E=POINT,blaEC=COMPLETE	2016-04
	PDT000242492.1	USA: Midwest	feces	clinical				SAMN07488871	GCA_002319115.1	blaEC=COMPLETE,tet(B)=COMPLETE	2011
